Call_Id,Agent,Topic,Resolved,Speed_of_answer_in_seconds,Satisfaction_rating,Datetime,Answered,TalkDurationSeconds
ID0001,Diane,Contract related,1,109.0,3.0,2021-01-01 09:12:58,1,143.0
ID0002,Becky,Technical Support,0,70.0,3.0,2021-01-01 09:12:58,1,242.0
ID0003,Stewart,Contract related,1,10.0,3.0,2021-01-01 09:47:31,1,131.0
ID0004,Greg,Contract related,1,53.0,2.0,2021-01-01 09:47:31,1,37.0
ID0005,Becky,Payment related,1,95.0,3.0,2021-01-01 10:00:29,1,60.0
ID0006,Stewart,Technical Support,0,,,2021-01-01 10:00:29,0,
ID0007,Diane,Payment related,1,24.0,2.0,2021-01-01 10:22:05,1,220.0
ID0008,Diane,Payment related,1,22.0,4.0,2021-01-01 10:22:05,1,38.0
ID0009,Greg,Admin Support,1,15.0,4.0,2021-01-01 11:13:55,1,398.0
ID0010,Jim,Streaming,1,78.0,3.0,2021-01-01 11:13:55,1,64.0
ID0011,Joe,Payment related,0,,,2021-01-01 11:15:22,0,
ID0012,Greg,Payment related,1,50.0,4.0,2021-01-01 11:15:22,1,32.0
ID0013,Joe,Payment related,1,84.0,3.0,2021-01-01 11:52:48,1,214.0
ID0014,Martha,Contract related,1,89.0,3.0,2021-01-01 11:52:48,1,344.0
ID0015,Becky,Admin Support,1,48.0,4.0,2021-01-01 11:55:41,1,227.0
ID0016,Becky,Admin Support,1,63.0,2.0,2021-01-01 11:55:41,1,326.0
ID0017,Greg,Technical Support,1,45.0,5.0,2021-01-01 11:57:07,1,332.0
ID0018,Becky,Admin Support,0,,,2021-01-01 11:57:07,0,
ID0019,Jim,Streaming,0,,,2021-01-01 12:01:26,0,
ID0020,Jim,Contract related,1,101.0,3.0,2021-01-01 12:01:26,1,147.0
ID0021,Jim,Technical Support,1,74.0,5.0,2021-01-01 12:02:53,1,322.0
ID0022,Dan,Admin Support,1,89.0,5.0,2021-01-01 12:02:53,1,350.0
ID0023,Martha,Technical Support,0,,,2021-01-01 12:02:53,0,
ID0024,Joe,Technical Support,1,68.0,2.0,2021-01-01 12:02:53,1,325.0
ID0025,Diane,Streaming,1,97.0,3.0,2021-01-01 12:30:14,1,249.0
ID0026,Dan,Payment related,0,,,2021-01-01 12:30:14,0,
ID0027,Joe,Streaming,1,39.0,3.0,2021-01-01 12:40:19,1,240.0
ID0028,Martha,Contract related,1,51.0,4.0,2021-01-01 12:40:19,1,154.0
ID0029,Joe,Technical Support,1,106.0,4.0,2021-01-01 12:40:19,1,129.0
ID0030,Stewart,Streaming,1,107.0,3.0,2021-01-01 12:40:19,1,355.0
ID0031,Joe,Admin Support,1,22.0,3.0,2021-01-01 13:24:58,1,308.0
ID0032,Joe,Streaming,1,122.0,4.0,2021-01-01 13:24:58,1,128.0
ID0033,Diane,Technical Support,1,57.0,3.0,2021-01-01 13:33:36,1,409.0
ID0034,Jim,Payment related,0,53.0,2.0,2021-01-01 13:33:36,1,104.0
ID0035,Becky,Streaming,1,119.0,5.0,2021-01-01 13:42:14,1,91.0
ID0036,Diane,Streaming,0,,,2021-01-01 13:42:14,0,
ID0037,Martha,Technical Support,0,20.0,2.0,2021-01-01 13:42:14,1,72.0
ID0038,Joe,Technical Support,1,52.0,3.0,2021-01-01 13:42:14,1,36.0
ID0039,Stewart,Contract related,1,74.0,1.0,2021-01-01 14:38:24,1,401.0
ID0040,Greg,Technical Support,1,49.0,3.0,2021-01-01 14:38:24,1,149.0
ID0041,Jim,Technical Support,1,27.0,5.0,2021-01-01 14:47:02,1,129.0
ID0042,Greg,Contract related,1,100.0,5.0,2021-01-01 14:47:02,1,294.0
ID0043,Diane,Technical Support,1,45.0,3.0,2021-01-01 14:47:02,1,381.0
ID0044,Becky,Payment related,1,98.0,5.0,2021-01-01 14:47:02,1,194.0
ID0045,Diane,Admin Support,1,25.0,5.0,2021-01-01 15:44:38,1,313.0
ID0046,Jim,Contract related,0,,,2021-01-01 15:44:38,0,
ID0047,Dan,Admin Support,1,107.0,3.0,2021-01-01 17:13:55,1,142.0
ID0048,Martha,Contract related,0,,,2021-01-01 17:13:55,0,
ID0049,Joe,Technical Support,1,104.0,5.0,2021-01-01 17:25:26,1,215.0
ID0050,Dan,Technical Support,0,,,2021-01-01 17:25:26,0,
ID0051,Martha,Contract related,0,,,2021-01-01 17:35:31,0,
ID0052,Jim,Admin Support,0,,,2021-01-01 17:35:31,0,
ID0053,Stewart,Payment related,1,13.0,5.0,2021-01-01 17:36:58,1,75.0
ID0054,Dan,Payment related,1,119.0,5.0,2021-01-01 17:36:58,1,152.0
ID0055,Becky,Streaming,1,35.0,3.0,2021-01-01 17:44:10,1,79.0
ID0056,Dan,Streaming,1,83.0,4.0,2021-01-01 17:44:10,1,405.0
ID0057,Jim,Technical Support,1,48.0,2.0,2021-01-01 17:57:07,1,172.0
ID0058,Stewart,Admin Support,1,45.0,5.0,2021-01-01 17:57:07,1,203.0
ID0059,Dan,Technical Support,1,65.0,5.0,2021-01-02 09:05:46,1,360.0
ID0060,Dan,Contract related,1,50.0,3.0,2021-01-02 09:05:46,1,266.0
ID0061,Diane,Streaming,1,17.0,3.0,2021-01-02 09:18:43,1,375.0
ID0062,Joe,Technical Support,0,,,2021-01-02 09:18:43,0,
ID0063,Dan,Streaming,1,96.0,1.0,2021-01-02 09:20:10,1,406.0
ID0064,Stewart,Streaming,1,90.0,3.0,2021-01-02 09:20:10,1,383.0
ID0065,Jim,Contract related,1,98.0,2.0,2021-01-02 09:38:53,1,385.0
ID0066,Diane,Technical Support,0,90.0,4.0,2021-01-02 09:38:53,1,83.0
ID0067,Jim,Contract related,1,98.0,5.0,2021-01-02 10:04:48,1,349.0
ID0068,Jim,Contract related,1,70.0,5.0,2021-01-02 10:04:48,1,192.0
ID0069,Diane,Contract related,1,69.0,4.0,2021-01-02 10:33:36,1,285.0
ID0070,Diane,Admin Support,0,,,2021-01-02 10:33:36,0,
ID0071,Joe,Technical Support,1,120.0,4.0,2021-01-02 11:08:10,1,131.0
